# step  MSD_x(Ang2)  MSD_y  MSD_z  MSD_total
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
207000 7352.81 11898.9 11820 31071.7
207500 7375.12 11949.5 11829 31153.7
208000 7399.53 11971.9 11853.9 31225.3
208500 7404.16 11992.5 11887.5 31284.2
209000 7412.96 12028.3 11912.7 31354
209500 7413.82 12055.5 11941.7 31411
210000 7427.39 12066.5 11978.6 31472.6
210500 7437.58 12094.8 12018 31550.4
211000 7455.94 12129.2 12068.4 31653.5
211500 7473.25 12159.2 12114.4 31746.9
212000 7479.23 12189.5 12159.9 31828.6
212500 7482.4 12223.1 12179.7 31885.3
213000 7478.7 12262.6 12224.2 31965.5
213500 7488.95 12297.3 12243 32029.2
214000 7495.76 12341.8 12275.5 32113.1
214500 7485.71 12380.1 12323.7 32189.5
215000 7488.24 12421.7 12364.1 32274.1
215500 7500.43 12462.8 12395.4 32358.7
216000 7497.34 12485.4 12427.1 32409.9
216500 7512.54 12500.4 12472.9 32485.8
217000 7538.62 12498.4 12510.5 32547.5
217500 7550.82 12528.3 12529.1 32608.2
218000 7565.72 12554.7 12551.3 32671.7
218500 7588.24 12563.5 12583.7 32735.4
219000 7598.9 12580.9 12635.5 32815.3
219500 7616.09 12595 12665.1 32876.2
220000 7630.41 12603.7 12698.6 32932.7
220500 7644.55 12624.8 12725.2 32994.6
221000 7636.91 12641.1 12733.9 33011.9
221500 7656.02 12671.7 12734.8 33062.5
222000 7665.31 12713.7 12741.8 33120.8
222500 7675.49 12738.8 12750 33164.2
223000 7690.64 12780.4 12737.5 33208.5
223500 7711.66 12818.4 12721.2 33251.3
224000 7726.95 12837.5 12725.2 33289.7
224500 7748.73 12870.2 12725.6 33344.6
225000 7772.38 12905.6 12750.4 33428.4
225500 7808.31 12946.1 12768 33522.4
226000 7839.02 12996.9 12792.6 33628.5
226500 7859.95 13055.4 12812.3 33727.6
227000 7874.29 13132.9 12820.4 33827.6
227500 7893.21 13210.3 12821 33924.5
228000 7924.8 13242.4 12835.5 34002.7
228500 7959.43 13279.2 12840.7 34079.4
229000 7998.28 13317.8 12860.2 34176.3
229500 8031.92 13325 12881.5 34238.4
230000 8055.83 13340 12916.6 34312.4
230500 8075.82 13357.9 12943.7 34377.5
231000 8103.17 13357.4 12977.7 34438.2
231500 8117.36 13373.5 13030.1 34520.9
232000 8142.51 13395 13060.1 34597.6
232500 8165.74 13410.4 13076 34652.1
233000 8181.39 13407.3 13088.5 34677.2
233500 8180.83 13413.3 13109.5 34703.7
234000 8187.47 13433.8 13125.3 34746.5
234500 8179.55 13447.5 13127.1 34754.2
235000 8171.95 13480 13130.7 34782.7
235500 8181.18 13533.5 13116 34830.7
236000 8189.27 13587.1 13116.2 34892.6
236500 8205.3 13639.6 13144.8 34989.7
237000 8212.13 13701.7 13175.9 35089.7
237500 8205.43 13772.8 13209.9 35188.2
238000 8198.37 13836 13236 35270.3
238500 8216.41 13879.2 13248.6 35344.3
239000 8222.95 13933.5 13279.1 35435.5
239500 8224.76 13980.5 13313.5 35518.7
240000 8225.03 14033.6 13340.1 35598.7
240500 8234 14075.2 13357.9 35667.1
241000 8240.52 14103.6 13378.7 35722.7
241500 8227.66 14118 13392.8 35738.5
242000 8241.95 14119 13408.5 35769.5
242500 8241.37 14127 13435.9 35804.4
243000 8253.22 14138.3 13480.8 35872.3
243500 8264.33 14146.7 13511.4 35922.5
244000 8262.58 14179.3 13520.6 35962.5
244500 8273.53 14207.9 13519.1 36000.5
245000 8281.79 14232.6 13529.6 36044
245500 8295.07 14267.7 13529.9 36092.7
246000 8310.78 14313.3 13523.4 36147.5
246500 8316.63 14366.7 13519.2 36202.6
247000 8313.76 14398.2 13511.5 36223.4
247500 8320.01 14436.4 13512 36268.4
248000 8346.09 14485 13518.3 36349.4
248500 8344.41 14526.5 13531.5 36402.4
249000 8352.34 14568.8 13558.5 36479.6
249500 8364.85 14613.9 13569.4 36548.1
250000 8379.77 14649.7 13597.6 36627
250500 8395.92 14672.8 13633.6 36702.3
251000 8396.45 14706.3 13684.2 36787
251500 8393.44 14734.3 13727.6 36855.3
252000 8400.71 14762.7 13748.7 36912.1
252500 8418.48 14786.2 13783.3 36988
253000 8436.4 14831.3 13816.5 37084.2
253500 8438.02 14875.3 13859.3 37172.6
254000 8442.41 14926.2 13896.9 37265.6
254500 8440.05 14953.5 13949 37342.5
255000 8433.53 14989.4 13998.8 37421.7
255500 8460.84 15020 14044.7 37525.6
256000 8494.78 15053.9 14064.5 37613.2
256500 8519.23 15105.4 14083.9 37708.6
257000 8541.06 15149.7 14123.3 37814
257500 8575.97 15182.2 14187.6 37945.8
258000 8595.25 15245.6 14226.8 38067.6
258500 8619.57 15295.4 14280.1 38195.1
259000 8646.93 15354.9 14321.1 38322.9
259500 8671.39 15420.3 14351.8 38443.5
260000 8688.6 15470.7 14393.1 38552.4
260500 8720.83 15529.5 14422 38672.3
261000 8748.42 15580.9 14446.9 38776.3
261500 8764.26 15637 14474.4 38875.6
262000 8803.4 15695.4 14517.8 39016.6
262500 8837.46 15733.3 14557.4 39128.1
263000 8884.14 15776.9 14579.7 39240.7
263500 8914.11 15822.9 14614.3 39351.3
264000 8931.48 15862.7 14638.4 39432.6
264500 8946.29 15886.2 14637.5 39470.1
265000 8967.03 15910.5 14647.4 39524.9
265500 8970.33 15927.4 14663.2 39560.9
266000 8997.09 15954.7 14696.1 39647.8
266500 9033.11 15970.5 14744 39747.6
267000 9054.09 15982.9 14782.2 39819.3
267500 9075.69 15981.5 14810.4 39867.7
268000 9117 16010.2 14843.1 39970.3
268500 9137.11 16066.7 14886.3 40090.2
269000 9166.78 16103.1 14934 40203.8
269500 9201.11 16096.2 14994.3 40291.7
270000 9221.83 16105.1 15047.4 40374.4
270500 9232.15 16113.4 15107.6 40453.1
271000 9265.98 16091.8 15160.9 40518.7
271500 9280.61 16074.6 15199.3 40554.5
272000 9286.13 16077.2 15256.7 40620
272500 9316.87 16087.2 15288.7 40692.7
273000 9331.06 16095.9 15342.4 40769.4
273500 9361.11 16127.1 15403.1 40891.4
274000 9377.7 16165.7 15477.8 41021.2
274500 9395.58 16217 15562.4 41175
275000 9419.27 16273.2 15636.9 41329.3
275500 9426.17 16319.2 15688.1 41433.5
276000 9433.79 16350.8 15741.1 41525.7
276500 9452.94 16386 15783.1 41622.1
277000 9466.33 16408.9 15815.7 41691
277500 9464.79 16428.6 15822.1 41715.5
278000 9464.56 16444.3 15838.4 41747.3
278500 9486.66 16483.3 15876.5 41846.5
279000 9493.86 16516.9 15887.3 41898
279500 9510.88 16549.2 15897.6 41957.6
280000 9513.38 16575.7 15927.8 42016.9
280500 9532.95 16596.9 15958.9 42088.7
281000 9550.79 16614.8 15978.6 42144.2
281500 9569.07 16649.7 15985.9 42204.7
282000 9584.22 16663.6 16020.3 42268
282500 9593.8 16678.6 16058.4 42330.8
283000 9603.88 16677.8 16107.3 42388.9
283500 9615.04 16697.5 16140.2 42452.8
284000 9637.99 16691.4 16146.2 42475.6
284500 9651.17 16714.4 16171.4 42537
285000 9676.59 16723.5 16197.5 42597.6
285500 9716.05 16720.7 16222.9 42659.7
286000 9765.46 16715.1 16267.4 42747.9
286500 9777.71 16723.6 16316.2 42817.5
287000 9808.77 16756.1 16366.9 42931.8
287500 9848.72 16779.5 16408.8 43036.9
288000 9856.32 16799.6 16422.6 43078.5
288500 9877.66 16798.3 16447 43123
289000 9895.59 16792.5 16482 43170.1
289500 9890.95 16814.9 16517.6 43223.5
290000 9881.84 16830 16559 43270.8
290500 9873.42 16859 16609.8 43342.2
291000 9873.19 16891.7 16674.3 43439.3
291500 9887.29 16911.8 16732.3 43531.3
292000 9890.81 16916.5 16769.2 43576.5
292500 9918.79 16913.4 16820.3 43652.5
293000 9940.53 16931.6 16866.8 43738.9
293500 9963.98 16957.6 16886 43807.5
294000 9986.79 16972.1 16887.3 43846.1
294500 10014.5 16955.1 16908 43877.6
295000 10057.1 16931.8 16963.8 43952.7
295500 10081.3 16913.2 17012.9 44007.5
296000 10112 16924.2 17045.9 44082.1
296500 10117.4 16935.6 17072 44125
297000 10153 16963.9 17116.2 44233.1
297500 10177.4 16996.8 17178 44352.2
298000 10171.9 17036.9 17228.7 44437.5
298500 10203.1 17064.7 17279.8 44547.6
299000 10233.6 17087.9 17337.4 44658.9
299500 10258.4 17100.8 17397.3 44756.4
300000 10285.6 17122.4 17447 44855
